说明
第一行为： 点数n 边数m
接下来为m行，每行以回车结尾，数据之间以空格分割
每行数据分别为：
无向边端点1 无向边端点2 边长（单位m） 是否能行车（1为能） 

15 37
0 1 751 0
0 4 775 1
0 6 874 0
0 8 892 0
1 2 289 1
4 3 176 1
//1 2 294 1
3 2 132 1
3 5 149 1
1 3 306 1
2 5 103 1
5 7 319 0
5 6 509 0
4 6 407 1
3 7 467 0
3 6 434 1
1 4 391 1
6 7 377 1
6 8 122 1
8 10 231 1
9 7 79 1
9 10 92 1
7 10 109 1
7 11 294 1
11 10 312 1
11 9 232 1
8 7 485 0
8 9 488 0
6 10 343 1
14 10 207 1
11 14 269 0
11 12 217 0
13 12 216 1
12 14 160 0
13 14 144 1
7 14 454 1
//11 9 343 1
